Number,VID,Unit,Format,Comment,


Module Name : CTC,
  156),       645,        __,         U[1],LoadPort_AssociationStatus,

  157),       646,        __,         U[1],LoadPort_TransferStatus,

  158),       647,        __,         L[1],LoadPort_StateInfo,

  159),       651,        __,        AV[1],LoadPort_LocID_Placement,

  160),       652,        __,        AV[1],LoadPort_LocID_Docked,

  161),       661,        __,         L[0],LoadPort_CassetteMap_List,

  162),       671,        __,        AV[1],LoadPort_PJobID,

  163),       700,        __,         U[1],LoadPort_Cassette_Status,

  164),       701,        __,         A[16],LoadPort_LotID,

  165),       702,        __,        AV[16],LoadPort_CarrierID,

  166),       703,        __,         A[12],LoadPort_PPID,

  167),       704,        __,         A[10],LoadPort_Status,

  168),       705,        __,         U[1],LoadPort_Wafer_Number_Assigned,

  169),       706,        __,         U[1],LoadPort_Wafer_Number_Processed,

  170),       707,        __,         A[25],LoadPort_Wafer_Map,

  171),       708,        __,         I[4],LoadPort_Total_Number_Of_Mapping_Wafer,

  172),       709,        __,         U[1],LoadPort_Wafer_Number_Aborted,

  173),       710,        __,         A[14],LoadPort_Lot_Start_Time,

  174),       711,        __,         A[14],LoadPort_Lot_End_Time,

  175),       712,        __,         A[14],LoadPort_Wafer_Start_Time,

  176),       713,        __,         A[14],LoadPort_Wafer_End_Time,

  177),       714,        __,         U[1],LoadPort_Slot_Max,

  178),       715,        __,         L[0],LoadPort_Wafer_Visit_History,

  179),       716,        __,         U[1],LoadPort_PortID,

  180),       718,        __,         L[0],LoadPort_SlotInfoList,

  181),       719,        __,      BOOL[1],LoadPort_BypassReadID,

  182),       720,        __,        AV[4],LoadPort_LocationID,

  183),       730,        __,         U[1],LoadPort_ClampStatus,

  184),       731,        __,         U[1],LoadPort_Foup_Status,

  185),       732,        __,         U[1],LoadPort_Foup_Door_Status,

  186),       740,        __,         U[1],LoadPort_Access_Mode,

  187),       741,        __,         U[1],LoadPort_CarrierIDStatus,

  188),       742,        __,         U[1],LoadPort_SlotMspStatus,

  189),       743,        __,         U[1],LoadPort_CarrierAccessStatus,

  190),       744,        __,         U[1],LoadPort_ReservationStatus,

  191),       745,        __,         U[1],LoadPort_AssociationStatus,

  192),       746,        __,         U[1],LoadPort_TransferStatus,

  193),       747,        __,         L[1],LoadPort_StateInfo,

  194),       751,        __,        AV[1],LoadPort_LocID_Placement,

  195),       752,        __,        AV[1],LoadPort_LocID_Docked,

  196),       761,        __,         L[0],LoadPort_CassetteMap_List,

  197),       771,        __,        AV[1],LoadPort_PJobID,


Module Name : PM1,
  198),      1001,        __,         A[32],LOT_ID,

  199),      1002,        __,         A[32],FDC.RECIPE_NAME,

  200),      1003,        __,         A[32],WAFER_ID,

  201),      1004,        __,         A[7],STEP_NUM,

  202),      1005,        __,         A[7],PORT_ID,

  203),      1006,        __,         A[7],SLOT_ID,

  204),      1007,        __,         A[7],PROCESS_TIME,

  205),      1008,        __,         A[32],CID,

  206),      1009,        __,         A[32],RECIPE_NAME,

  207),      1010,        __,         A[3],Chamber_ID,

  208),      1011,        __,         A[32],Clean_Recipe_Name,

  209),      1012,        __,         A[32],CJobID,
